actor,actorLabel,fields,placeOfBirthLabel,dateOfBirth,dateOfDeath,description
http://www.wikidata.org/entity/Q130549,Q130549,"μουσική, χορός, υποκριτική",Σλάου,1959-12-30T00:00:00Z,,
http://www.wikidata.org/entity/Q131685,Κρις Έιντζελ,γιόγκα,Q2026633,1967-12-19T00:00:00Z,,Αμερικανός μάγος και θαυματοποιός
http://www.wikidata.org/entity/Q131814,Τίνα Τέρνερ,"ροκ, άσμα, ποπ μουσική, σύνθεση, χορογραφία, δημοφιλής μουσική","Μπράουνσβιλ, Τενεσί",1939-11-26T00:00:00Z,2023-05-24T00:00:00Z,"Αμερικανίδα τραγουδίστρια, ηθοποιός και χορεύτρια"
http://www.wikidata.org/entity/Q133799,Q133799,"ταινία, θέατρο, υποκριτική",Βρότσλαβ,1971-04-27T00:00:00Z,,
http://www.wikidata.org/entity/Q134180,Τρούμαν Καπότε,δημοσιογραφία,Νέα Ορλεάνη,1924-09-30T00:00:00Z,1984-08-25T00:00:00Z,Αμερικανός συγγραφέας
http://www.wikidata.org/entity/Q139330,Ζακ Μπραφ,ταινία,Q656185,1975-04-06T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q139611,Ζάκαρι Γκόρντον,ταινία,Q1978751,1998-02-15T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q144622,Φιλ Κόλινς,"αυτοβιογραφία, μουσική, ροκ, άσμα, στίχος",Q106610682,1951-01-30T00:00:00Z,,"Βρετανός ντράμερ, τραγουδιστής και τραγουδοποιός (γεννημένος το 1951)"
http://www.wikidata.org/entity/Q236309,Ντον Φρεντς,"πεζός λόγος, υποκριτική",Q257446,1957-10-11T00:00:00Z,,
http://www.wikidata.org/entity/Q236378,Q236378,"μουσική, άσμα, υποκριτική",Πίτσμπεργκ,2000-04-09T00:00:00Z,,
http://www.wikidata.org/entity/Q236434,Q236434,"τηλεόραση, ταινία, υποκριτική",Τζώρτζταουν,1952-12-25T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q236469,Q236469,ποίηση,"Βηθλεέμ, Πενσυλβάνια",1886-09-10T00:00:00Z,1961-09-27T00:00:00Z,
http://www.wikidata.org/entity/Q237058,Ελβίρα Λίντο,"πεζός λόγος, λογοτεχνία, δημοσιογραφία",Κάδιθ,1962-01-23T00:00:00Z,,Ισπανίδα συγγραφέας
http://www.wikidata.org/entity/Q237081,Άνι Λόρακ,"ποίηση, μουσική",Q149151,1978-09-27T00:00:00Z,,
http://www.wikidata.org/entity/Q237178,Τζέιν Χόροκς,"τηλεόραση, μουσική, ταινία, θέατρο",Q2201943,1964-01-18T00:00:00Z,,
http://www.wikidata.org/entity/Q237645,Q237645,"τηλεόραση, ταινία",Q2453259,1950-07-26T00:00:00Z,,
http://www.wikidata.org/entity/Q238884,Σίρλεϊ Νάιτ,"τηλεόραση, ταινία, θέατρο",Q2229058,1936-07-05T00:00:00Z,2020-04-22T00:00:00Z,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q239046,Τσέρι Τζόουνς,"τηλεόραση, ταινία, θέατρο, ακτιβισμός",Q1018504,1956-11-21T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q4109,Κρις Ροκ,παραγωγή ταινιών,Άντριους,1965-02-07T00:00:00Z,,
http://www.wikidata.org/entity/Q4119,Q4119,υποκριτική,Λος Άντζελες,1964-05-27T00:00:00Z,,
http://www.wikidata.org/entity/Q4212,Νεντ Μπίτι,υποκριτική,Λούισβιλ,1937-07-06T00:00:00Z,2021-06-13T00:00:00Z,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q4673,Πάουλ Ότο,υποκριτική,Βερολίνο,1878-02-08T00:00:00Z,1943-11-25T00:00:00Z,
http://www.wikidata.org/entity/Q4673,Πάουλ Ότο,υποκριτική,Βερολίνο,1878-02-08T00:00:00Z,1943-11-30T00:00:00Z,
http://www.wikidata.org/entity/Q9535,Σαχ Ρουκ Κχαν,κινηματογράφος,Νέο Δελχί,1965-11-02T00:00:00Z,,
http://www.wikidata.org/entity/Q11637,Τζούντι Γκάρλαντ,"ηθοποιός, τέχνες του θεάματος",Γκραντ Ράπιντς,1922-06-10T00:00:00Z,1969-06-22T00:00:00Z,Αμερικανίδα ηθοποιός και τραγουδίστρια
http://www.wikidata.org/entity/Q14537,Μπιλ Χέιντερ,"υποκριτική, σάτιρα",Τάλσα,1978-06-07T00:00:00Z,,
http://www.wikidata.org/entity/Q16397,Μπρους Λη,"ηθοποιός, παραγωγός ταινιών, σκηνοθέτης κινηματογράφου, επαγγελματίας πολεμικών τεχνών, σεναριογράφος κινηματογραφικών ταινιών, φιλόσοφος",Q7413971,1940-11-27T00:00:00Z,1973-07-20T00:00:00Z,
http://www.wikidata.org/entity/Q18938,Τόμας Τζέιν,υποκριτική,Βαλτιμόρη,1969-02-22T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q19845,Τζέρι Χάλιγουελ,"ποπ μουσική, δημοφιλής μουσική",Q7974617,1972-08-06T00:00:00Z,,Βρετανίδα τραγουδίστρια
http://www.wikidata.org/entity/Q23814,Q23814,ηθοποιός,Μπρίστολ,1974-11-24T00:00:00Z,,
http://www.wikidata.org/entity/Q79097,Q79097,"τηλεόραση, ταινία",Βιέννη,1975-11-13T00:00:00Z,,
http://www.wikidata.org/entity/Q86718,Q86718,υποκριτική,Βιέννη,1944-04-13T00:00:00Z,2024-01-14T00:00:00Z,
http://www.wikidata.org/entity/Q86921,Q86921,υποκριτική,Βιέννη,1885-11-15T00:00:00Z,1951-06-27T00:00:00Z,
http://www.wikidata.org/entity/Q87112,Q87112,υποκριτική,Βιέννη,1899-12-30T00:00:00Z,1948-03-20T00:00:00Z,
http://www.wikidata.org/entity/Q87519,Q87519,"άσμα, υποκριτική, οπερέτα",Βιέννη,1872-03-03T00:00:00Z,1943-03-05T00:00:00Z,
http://www.wikidata.org/entity/Q87558,Q87558,"άσμα, υποκριτική",Κολωνία,1885-09-14T00:00:00Z,1970-02-16T00:00:00Z,Γερμανός ηθοποιός (1885-1970)
http://www.wikidata.org/entity/Q87594,Q87594,υποκριτική,Μπλαγκοβέσενσκ,1992-11-28T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q88153,Q88153,υποκριτική,Μόναχο,1918-09-03T00:00:00Z,2005-06-05T00:00:00Z,
http://www.wikidata.org/entity/Q88570,Q88570,υποκριτική,Βίζμπαντεν,1967-06-24T00:00:00Z,,
http://www.wikidata.org/entity/Q88595,Q88595,οπερέτα,Πράγα,1911-05-06T00:00:00Z,1969-03-02T00:00:00Z,
http://www.wikidata.org/entity/Q88747,Q88747,υποκριτική,Q571979,1960-01-11T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q88891,Q88891,υποκριτική,Q995855,1946-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q88891,Q88891,υποκριτική,Q995855,1946-01-31T00:00:00Z,,
http://www.wikidata.org/entity/Q89117,Q89117,υποκριτική,Βιέννη,1930-08-12T00:00:00Z,,
http://www.wikidata.org/entity/Q89181,Q89181,υποκριτική,Γκντανσκ,1874-12-19T00:00:00Z,1933-09-07T00:00:00Z,
http://www.wikidata.org/entity/Q89284,Q89284,υποκριτική,Στσίτνο,1966-04-16T00:00:00Z,,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q89375,Q89375,ηθοποιός,Μαγδεβούργο,1861-02-03T00:00:00Z,1942-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q89436,Q89436,υποκριτική,Βιέννη,1943-12-13T00:00:00Z,2021-12-09T00:00:00Z,
http://www.wikidata.org/entity/Q89484,Q89484,υποκριτική,Έσσεν,1972-09-20T00:00:00Z,,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q95943,Q95943,τέχνες του θεάματος,Όιπεν,1982-08-11T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q96184,Q96184,υποκριτική,Σοβιέτσκ,1882-01-01T00:00:00Z,1947-02-06T00:00:00Z,Γερμανός ηθοποιός (1882-1947)
http://www.wikidata.org/entity/Q96184,Q96184,υποκριτική,Σοβιέτσκ,1882-03-23T00:00:00Z,1947-02-06T00:00:00Z,Γερμανός ηθοποιός (1882-1947)
http://www.wikidata.org/entity/Q96316,Μίντο Χαμάντα,υποκριτική,Κάιρο,1971-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q96788,Q96788,"υποκριτική, πολιτική δραστηριότητα",Αννόβερο,1883-02-20T00:00:00Z,1956-10-08T00:00:00Z,
http://www.wikidata.org/entity/Q97655,Q97655,υποκριτική,Q5627363,1942-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q97655,Q97655,υποκριτική,Q5627363,1942-05-30T00:00:00Z,,
http://www.wikidata.org/entity/Q98363,Q98363,υποκριτική,Μόναχο,1891-07-14T00:00:00Z,1950-09-01T00:00:00Z,
http://www.wikidata.org/entity/Q98469,Q98469,υποκριτική,Μόναχο,1987-08-14T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q98547,Q98547,υποκριτική,Γκίσεν,1978-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q98547,Q98547,υποκριτική,Γκίσεν,1978-11-22T00:00:00Z,,
http://www.wikidata.org/entity/Q98665,Τζουλιάν Λόρεντς,"ντοκιμαντέρ, παραγωγή ταινιών, κινηματογράφος",Μάνχαϊμ,1957-08-02T00:00:00Z,,γερμανός film editor και παραγωγός ταινιών
http://www.wikidata.org/entity/Q98696,Q98696,υποκριτική,Κότμπους,1944-01-31T00:00:00Z,,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q100510,Q100510,υποκριτική,Ττσεφ,1933-07-06T00:00:00Z,2016-02-26T00:00:00Z,
http://www.wikidata.org/entity/Q124357,Ράλφ Μπράουν,"θέατρο, τηλεόραση, ταινία",Κέιμπριτζ,1957-06-18T00:00:00Z,,
http://www.wikidata.org/entity/Q125073,Q125073,"θέατρο, άσμα, υποκριτική",Οστράβα,1911-10-18T00:00:00Z,2006-11-17T00:00:00Z,
http://www.wikidata.org/entity/Q125073,Q125073,"θέατρο, άσμα, υποκριτική",Q3524703,1911-10-18T00:00:00Z,2006-11-17T00:00:00Z,
http://www.wikidata.org/entity/Q125381,Q125381,"άσμα, υποκριτική",Μόναχο,1968-05-06T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q125560,Ράιναλντ Γκρέμπε,"παραδοσιακή μουσική, Καμπαρέ, υποκριτική",Κολωνία,1971-01-01T00:00:00Z,,
http://www.wikidata.org/entity/Q125560,Ράιναλντ Γκρέμπε,"παραδοσιακή μουσική, Καμπαρέ, υποκριτική",Κολωνία,1971-04-14T00:00:00Z,,
http://www.wikidata.org/entity/Q128297,Μαρία Κάλλας,άσμα,Νέα Υόρκη,1923-12-02T00:00:00Z,1977-09-16T00:00:00Z,Ελληνίδα υψίφωνος (1923-1977)
http://www.wikidata.org/entity/Q128297,Μαρία Κάλλας,άσμα,Νοσοκομείο Φλάουερ,1923-12-02T00:00:00Z,1977-09-16T00:00:00Z,Ελληνίδα υψίφωνος (1923-1977)
http://www.wikidata.org/entity/Q129087,Έθελ Μέρμαν,άσμα,Αστόρια,1908-01-16T00:00:00Z,1984-02-15T00:00:00Z,Αμερικανίδα ηθοποιός και τραγουδίστρια
http://www.wikidata.org/entity/Q130026,Q130026,"δημοσιογραφία γνώμης, υποκριτική",Q311975,1972-09-07T00:00:00Z,,
http://www.wikidata.org/entity/Q130026,Q130026,"δημοσιογραφία γνώμης, υποκριτική",Q311975,1972-09-29T00:00:00Z,,
http://www.wikidata.org/entity/Q151830,Q151830,μουσική,Q1830491,1974-01-12T00:00:00Z,,
http://www.wikidata.org/entity/Q153358,Q153358,"μουσική, ταινία, ραδιοφωνία, θέατρο",Μανχάταν,1891-10-29T00:00:00Z,1951-05-29T00:00:00Z,
http://www.wikidata.org/entity/Q155079,Q155079,"μουσική, Ραπ μουσική, σύνθεση",Πόρτσμουθ,1971-07-01T00:00:00Z,,
http://www.wikidata.org/entity/Q155493,Q155493,"ποίηση, άσμα, υποκριτική",Νίκαια,1940-08-28T00:00:00Z,2001-08-25T00:00:00Z,
http://www.wikidata.org/entity/Q159915,Q159915,μουσική,Ρίγα,1947-02-27T00:00:00Z,,
http://www.wikidata.org/entity/Q162959,Μπλέικ Λάιβλι,"τηλεόραση, ταινία",Ταρζάνα,1987-08-25T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q163593,Q163593,"μουσική, άσμα, κάντρι μουσική, σύνθεση",Γκραντ Φορκς,1947-09-26T00:00:00Z,2015-07-30T00:00:00Z,
http://www.wikidata.org/entity/Q163826,Q163826,ποίηση,Σάλτο,1932-06-16T00:00:00Z,2004-08-17T00:00:00Z,
http://www.wikidata.org/entity/Q237201,Q237201,"θέατρο, υποκριτική",Q930139,1692-04-05T00:00:00Z,1730-03-20T00:00:00Z,
http://www.wikidata.org/entity/Q237766,Q237766,"ταινία, θέατρο, υποκριτική",Q2763404,1923-04-25T00:00:00Z,2012-10-24T00:00:00Z,
http://www.wikidata.org/entity/Q238819,Q238819,"Ραπ μουσική, άσμα, υποκριτική, σύνθεση, μουσική βιομηχανία",Ταϊπέι,1979-01-18T00:00:00Z,,
http://www.wikidata.org/entity/Q238819,Q238819,"Ραπ μουσική, άσμα, υποκριτική, σύνθεση, μουσική βιομηχανία",Q570112,1979-01-18T00:00:00Z,,
http://www.wikidata.org/entity/Q238895,Κάρολαϊν Τζόουνς,"ταινία, υποκριτική",Αμαρίλο,1930-04-28T00:00:00Z,1983-08-03T00:00:00Z,
http://www.wikidata.org/entity/Q239396,Q239396,"ταινία, υποκριτική",Χόλυγουντ,1985-08-16T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q14538,Q14538,σύνθεση,Μπέλβιλ,1981-02-26T00:00:00Z,,
http://www.wikidata.org/entity/Q19810,Βικτόρια Μπέκαμ,σύνθεση,Q852729,1974-04-17T00:00:00Z,,
http://www.wikidata.org/entity/Q23543,Σελίνα,σύνθεση,Q970581,1971-04-16T00:00:00Z,1995-03-31T00:00:00Z,
http://www.wikidata.org/entity/Q78825,Q78825,"ταινία, θέατρο, υποκριτική",Καρλίν,1899-11-06T00:00:00Z,2000-05-25T00:00:00Z,
http://www.wikidata.org/entity/Q78825,Q78825,"θέατρο, υποκριτική, ταινία",Πράγα,1899-11-06T00:00:00Z,2000-05-25T00:00:00Z,
http://www.wikidata.org/entity/Q78887,Q78887,"ταινία, θέατρο",Γκορίτσια,1901-02-03T00:00:00Z,1949-01-20T00:00:00Z,
http://www.wikidata.org/entity/Q79102,Q79102,οπερέτα,Βιέννη,1882-03-21T00:00:00Z,1969-01-30T00:00:00Z,
http://www.wikidata.org/entity/Q86789,Μίριαμ Βάισελμπραουν,παρουσιαστής,Ίνσμπρουκ,1981-09-27T00:00:00Z,,Αυστριακή τηλεπαρουσιάστρια
http://www.wikidata.org/entity/Q100351,Q100351,Θεατρολογία,Όλντενμπουργκ,1942-07-18T00:00:00Z,,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q105941,Μίρνα Λόι,"τηλεόραση, ταινία, θέατρο, υποκριτική",Χέλενα,1905-08-02T00:00:00Z,1993-12-14T00:00:00Z,
http://www.wikidata.org/entity/Q106781,Q106781,"τηλεόραση, ραδιοφωνία, ταινία, θέατρο",Φιλιππούπολη,1966-01-20T00:00:00Z,,
http://www.wikidata.org/entity/Q124360,Q124360,"Μεταγλώττιση, υποκριτική",Q541956,1953-04-11T00:00:00Z,,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q124826,Q124826,υποκριτική,Μπιλ/Μπιέν,1894-12-15T00:00:00Z,1985-10-22T00:00:00Z,
http://www.wikidata.org/entity/Q126713,Q126713,υποκριτική,Αμβούργο,1931-11-13T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q126957,Μάριο βαν Πιμπλς,παραγωγή ταινιών,Πόλη του Μεξικού,1957-01-15T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q128507,Λόρεν Κόχαν,υποκριτική,Q2710598,1982-01-07T00:00:00Z,,Αμερικανο-Βρετανίδα ηθοποιός
http://www.wikidata.org/entity/Q128828,Λόγκαν Μίλερ,υποκριτική,Q991177,1992-02-18T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q130164,Q130164,υποκριτική,Q1758492,1974-09-11T00:00:00Z,2002-12-02T00:00:00Z,
http://www.wikidata.org/entity/Q130412,Λούντβικ Σεμπολίνσκι,"χορός, υποκριτική",Βαρσοβία,1899-08-18T00:00:00Z,1981-04-17T00:00:00Z,
http://www.wikidata.org/entity/Q132058,Τζον Κάσνταν,παραγωγή ταινιών,Λος Άντζελες,1979-09-30T00:00:00Z,,Αμερικανός σεναριογράφος και σκηνοθέτης
http://www.wikidata.org/entity/Q134077,Ρέιτσελ Βάις,υποκριτική,Ουέστμινστερ,1970-03-07T00:00:00Z,,Αγγλίδα ηθοποιός
http://www.wikidata.org/entity/Q138232,Q138232,υποκριτική,Λουντ,1978-09-12T00:00:00Z,,
http://www.wikidata.org/entity/Q143030,Ροστισλάβ Γιανκόφσκι,υποκριτική,Οδησσός,1930-02-05T00:00:00Z,2016-06-26T00:00:00Z,
http://www.wikidata.org/entity/Q144460,Q144460,τέχνες του θεάματος,Q272243,1886-08-24T00:00:00Z,1980-12-06T00:00:00Z,
http://www.wikidata.org/entity/Q145422,Q145422,ταινία,Νέα Υόρκη,1950-08-14T00:00:00Z,,
http://www.wikidata.org/entity/Q150840,Ισίρο Χόντα,"τηλεόραση, ταινία",Γιαμαγκάτα,1911-05-07T00:00:00Z,1993-02-28T00:00:00Z,
http://www.wikidata.org/entity/Q150916,Τζων Μπον Τζόβι,ροκ,Περθ Άμποϊ,1962-03-02T00:00:00Z,,
http://www.wikidata.org/entity/Q152301,Q152301,"μετάφραση, λογοτεχνία, θέατρο, τέχνες του θεάματος",Βουδαπέστη,1914-05-24T00:00:00Z,2007-07-23T00:00:00Z,
http://www.wikidata.org/entity/Q152779,Q152779,ταινία,Q2439923,1906-11-14T00:00:00Z,1985-08-08T00:00:00Z,
http://www.wikidata.org/entity/Q153177,Q153177,"πεζός λόγος, υποκριτική",Τορόντο,1945-03-18T00:00:00Z,,
http://www.wikidata.org/entity/Q153996,Nena,άσμα,Χάγκεν,1960-03-24T00:00:00Z,,
http://www.wikidata.org/entity/Q154399,Q154399,"άσμα, υποκριτική",Λοτζ,1901-02-02T00:00:00Z,1984-12-24T00:00:00Z,
http://www.wikidata.org/entity/Q158250,Πίτερ Μπογκντάνοβιτς,ταινία,Κίνγκστον (Νέα Υόρκη),1939-07-30T00:00:00Z,2022-01-06T00:00:00Z,
http://www.wikidata.org/entity/Q160009,Pink,"άσμα, ποπ μουσική, υποκριτική, δημοφιλής μουσική",Ντόιλσταουν (Πενσυλβάνια),1979-09-08T00:00:00Z,,Αμερικανίδα τραγουδίστρια και τραγουδοποιός
http://www.wikidata.org/entity/Q160219,Στέφανι Μέγερ,"πεζός λόγος, σενάριο, υποκριτική, παραγωγή ταινιών, λογοτεχνία για νέους ενήλικες",Χάρτφορντ,1973-12-24T00:00:00Z,,Αμερικανίδα συγγραφέας
http://www.wikidata.org/entity/Q162492,Κόλιν Φερθ,"πεζός λόγος, υποκριτική, παραγωγή ταινιών",Q3293556,1960-09-10T00:00:00Z,,Άγγλος ηθοποιός
http://www.wikidata.org/entity/Q163662,Q163662,τέχνες του θεάματος,Πίτσμπεργκ,1889-11-16T00:00:00Z,1961-06-02T00:00:00Z,
http://www.wikidata.org/entity/Q236300,Τέρι Πόλο,υποκριτική,Ντόβερ,1969-06-01T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q236549,Ελένε Φίσερ,"ποπ μουσική, δημοφιλής μουσική",Κρασνογιάρσκ,1984-08-05T00:00:00Z,,Γερμανίδα τραγουδίστρια
http://www.wikidata.org/entity/Q236842,Κέλι Πρέστον,υποκριτική,Χονολουλού,1962-10-13T00:00:00Z,2020-07-12T00:00:00Z,Αμερικανίδα ηθοποιός και μοντέλο
http://www.wikidata.org/entity/Q236956,Ρόζμαρι ΝτεΒιτ,υποκριτική,Φλάσινγκ,1971-10-26T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q237659,Πένι Μάρσαλ,υποκριτική,Μπρονξ,1943-10-15T00:00:00Z,2018-12-17T00:00:00Z,"Αμερικανίδα ηθοποιός, σκηνοθέτης και παραγωγός"
http://www.wikidata.org/entity/Q237820,Q237820,"άσμα, ποπ μουσική, ποπ ροκ, σύνθεση, δημοφιλής μουσική",Μπιλερίκι,1961-06-18T00:00:00Z,,
http://www.wikidata.org/entity/Q238070,Σάρα Άλγκουντ,υποκριτική,Δουβλίνο,1880-10-30T00:00:00Z,1950-09-13T00:00:00Z,
http://www.wikidata.org/entity/Q238070,Σάρα Άλγκουντ,υποκριτική,Δουβλίνο,1883-01-01T00:00:00Z,1950-09-13T00:00:00Z,
http://www.wikidata.org/entity/Q238383,Χέδερ Λάνγκενκαμπ,υποκριτική,Τάλσα,1964-07-17T00:00:00Z,,
http://www.wikidata.org/entity/Q238547,Στεφανία Σαντρέλι,υποκριτική,Βιαρέτζο,1946-06-05T00:00:00Z,,Ιταλίδα ηθοποιός
http://www.wikidata.org/entity/Q238665,Q238665,υποκριτική,Μεράνο,1943-08-21T00:00:00Z,2022-05-03T00:00:00Z,
http://www.wikidata.org/entity/Q238924,Μαίρη Κέι Πλέις,άσμα,Τάλσα,1947-01-01T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q238924,Μαίρη Κέι Πλέις,άσμα,Τάλσα,1947-09-23T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q239037,Q239037,υποκριτική,Έβανστον,1972-01-01T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q239037,Q239037,υποκριτική,Έβανστον,1972-12-09T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q239240,Τζούλια Τζόουνς,υποκριτική,Βοστώνη,1981-01-23T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q44158,Ντέιβ Μπαουτίστα,"αθλητισμός, παραγωγή ταινιών",Ουάσινγκτον,1969-01-18T00:00:00Z,,
http://www.wikidata.org/entity/Q44461,Ρίτσαρντ Ντόκινς,"βιολογία, ζωολογία, ηθολογία, Εκκλησία, θρησκευτικότητα, εξελικτική βιολογία",Ναϊρόμπι,1941-03-26T00:00:00Z,,
http://www.wikidata.org/entity/Q45574,Q45574,"τηλεόραση, ταινία, θέατρο, υποκριτική",Μόναχο,1921-03-27T00:00:00Z,2005-01-29T00:00:00Z,
http://www.wikidata.org/entity/Q45923,Άαρον Τέιλορ-Τζόνσον,"τηλεόραση, ταινία, υποκριτική, Φωνητική ηθοποιία",Χάι Ουίκαμ,1990-06-13T00:00:00Z,,Άγγλος ηθοποιός
http://www.wikidata.org/entity/Q78870,Q78870,υποκριτική,Χάναου,1874-12-26T00:00:00Z,1980-01-01T00:00:00Z,
http://www.wikidata.org/entity/Q78870,Q78870,υποκριτική,Χάναου,1874-12-26T00:00:00Z,1980-08-26T00:00:00Z,
http://www.wikidata.org/entity/Q80405,Τζούλιαν Μουρ,υποκριτική,Q991369,1960-12-03T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q104372,Ντόρις Ντέι,"δικαιώματα των ζώων, άσμα, υποκριτική",Σινσινάτι,1922-04-03T00:00:00Z,2019-05-13T00:00:00Z,Αμερικανίδα ηθοποιός και τραγουδίστρια (1922-2019)
http://www.wikidata.org/entity/Q104563,Q104563,"μουσική, άσμα, υποκριτική",Τούτσινκ,1947-01-15T00:00:00Z,,
http://www.wikidata.org/entity/Q105750,Q105750,"μουσική, ραδιοφωνία, μετάφραση, λογοτεχνία, θέατρο",Γκέρλιτς,1923-06-02T00:00:00Z,2003-08-01T00:00:00Z,
http://www.wikidata.org/entity/Q106225,Ζαν Γιαν,"μουσική, υποκριτική",Λε Λιλά,1933-07-18T00:00:00Z,2003-05-23T00:00:00Z,Γάλλος ηθοποιός
http://www.wikidata.org/entity/Q106393,Q106393,"μουσική, θέατρο, Καμπαρέ",Μόναχο,1892-12-12T00:00:00Z,1960-07-27T00:00:00Z,
http://www.wikidata.org/entity/Q106822,Q106822,"ποίηση, μουσική, διπλωματία, θέατρο",Έρλανγκεν,1744-11-26T00:00:00Z,1785-04-26T00:00:00Z,
http://www.wikidata.org/entity/Q106860,Q106860,"πολιτική, λογοτεχνία",Q20070,1925-06-03T00:00:00Z,2015-07-13T00:00:00Z,
http://www.wikidata.org/entity/Q107127,Q107127,"τηλεόραση, ταινία, θέατρο",Μάρμπουργκ,1967-02-26T00:00:00Z,,Γερμανίδα ηθοποιός
http://www.wikidata.org/entity/Q107805,Ούβε Μπομ,"τηλεόραση, ταινία, υποκριτική",Q1068,1962-01-23T00:00:00Z,2022-04-08T00:00:00Z,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q108283,Άλαν Άρκιν,"μουσική, υποκριτική",Μπρούκλιν,1934-03-26T00:00:00Z,2023-06-29T00:00:00Z,"Αμερικανός ηθοποιός, σκηνοθέτης, μουσικός, τραγουδιστής"
http://www.wikidata.org/entity/Q109522,Τζίνιφερ Γκούντγουιν,"τηλεόραση, ταινία",Μέμφις,1978-05-22T00:00:00Z,,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q109629,Q109629,"μουσική, υποκριτική",Φράιμπεργκ,1955-01-01T00:00:00Z,,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q110154,Τζορτζ Τακέι,"τηλεόραση, ταινία, δημοσιογραφία γνώμης, υποκριτική",Λος Άντζελες,1937-04-20T00:00:00Z,,Αμερικανός ηθοποιός
http://www.wikidata.org/entity/Q111184,Q111184,"μουσική, δράμα, υποκριτική",Βερολίνο,1884-07-08T00:00:00Z,1943-02-21T00:00:00Z,Γερμανός ηθοποιός
http://www.wikidata.org/entity/Q124949,Q124949,Ρομανικές σπουδές,Μπιλ/Μπιέν,1943-03-01T00:00:00Z,,
http://www.wikidata.org/entity/Q130742,Αλάνις Μορισέτ,σύνθεση,Οττάβα,1974-06-01T00:00:00Z,,Καναδή-Αμερικανίδα τραγουδίστρια
http://www.wikidata.org/entity/Q131324,Τζάνετ Τζάκσον,σύνθεση,Γκάρι,1966-05-16T00:00:00Z,,
http://www.wikidata.org/entity/Q131545,Χάρρυ Χουντίνι,"Τέχνη της απόδρασης, σκηνικός μάγος",Βουδαπέστη,1874-03-24T00:00:00Z,1926-10-31T00:00:00Z,"Ούγγρος μάγος, καλλιτέχνης των αποδράσεων και διασκεδαστής (1874-1926)"
http://www.wikidata.org/entity/Q141729,Ντάνιελ Χόουπ,οργανική μουσική,Ντέρμπαν,1973-08-17T00:00:00Z,,
http://www.wikidata.org/entity/Q151935,Κίρστι Άλεϊ,υποκριτική,Ουίτσιτα,1951-01-12T00:00:00Z,2022-12-05T00:00:00Z,Αμερικανίδα ηθοποιός
http://www.wikidata.org/entity/Q152950,Q152950,υποκριτική,Q987106,1891-02-07T00:00:00Z,1984-05-21T00:00:00Z,
http://www.wikidata.org/entity/Q154421,Εντ Άσνερ,υποκριτική,Κάνσας Σίτι,1929-11-15T00:00:00Z,2021-08-29T00:00:00Z,
